name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
西直门外大街,1室1厅,316,44.2平米,中楼层(共16层),1991年建塔楼
时代之光名苑,3室2厅,1000,211.36平米,中楼层(共16层),1990年建塔楼
如意里,2室1厅,445,57.2平米,中楼层(共7层),1988年建板楼
右安门内西街甲2号院,3室1厅,500,98平米,高楼层(共6层),1988年建板楼
三里河东路甲8号院,2室1厅,650,89平米,中楼层(共16层),1996年建塔楼
阜成门南大街,2室1厅,376,56.1平米,低楼层(共14层),1980年建板塔结合
樱桃二条8号院,2室2厅,678,114.5平米,高楼层(共14层),2004年建板塔结合
西便门西里,2室1厅,440,59.24平米,高楼层(共20层),1983年建塔楼
裕中东里,3室0厅,500,57平米,高楼层(共6层),1980年建板楼
国电中兴家园,3室1厅,788,106.3平米,中楼层(共18层),2000年建塔楼
九和苑,3室2厅,1450,182.41平米,中楼层(共14层),2004年建板塔结合
新文化街,2室1厅,760,73.9平米,低楼层(共16层),1986年建塔楼
石灯胡同6号院,2室1厅,560,49.4平米,低楼层(共6层),1980年建板楼
罗贤胡同,3室1厅,1350,133平米,高楼层(共6层),2001年建板楼
广华轩,3室1厅,740,193平米,中楼层(共24层),1999年建塔楼
榆树馆西里,2室1厅,750,94平米,中楼层(共5层),2000年建板楼
茗筑,2室1厅,516,100.44平米,中楼层(共27层),2005年建塔楼
新文化街,3室1厅,1100,74.1平米,中楼层(共16层),1990年建塔楼
